Gender,Occupation,StartingGold,Description
Male,Caravan Trader,$1200,Experienced merchant leading desert caravans
Male,Frontier Doctor,$1100,Medical expert able to treat desert illnesses
Male,Desert Ranger,$950,Skilled scout familiar with harsh desert terrain
Male,Caravan Guard,$850,Trained fighter protecting caravans from bandits
Male,Nomad Hunter,$750,Survivalist skilled at hunting desert animals
Female,Noble Merchant,$1300,Wealthy trader funding the expedition
Female,Desert Healer,$1100,Expert in herbs and desert medicine
Female,Caravan Navigator,$1000,Skilled at reading maps and guiding caravans
Female,Traveling Scholar,$900,Educated explorer studying ancient deserts
Female,Oasis Gatherer,$700,Experienced survivor who knows desert resources
